Restaurant Name,Address,Predictions
Cheeburger Cheeburger Express,7480 S Rainbow Blvd,Fail
Barcelona Tapas,10690 Southern Highlands Pkwy,Fail
No. 1 Boba Tea,"4255 Spring Mountain Rd, Ste C104",Fail
Mark Rich's New York Pizza & Pasta,11710 W Charleston Blvd,Fail
Los Jarochos Restaurant,4811 S Rainbow Blvd,Fail
El Ausente,2536 Fremont St,Fail
Hennessey's Las Vegas,"425 Fremont St, Ste 110",Fail
Crepe Station,"5051 Stewart Ave, Ste 111",Fail
Tortilleria San Diego,235 N Eastern Ave,Fail
Abyssinia Ethiopian Restaurant,"4780 W Tropicana Ave, Ste 108",Fail
ChowKing,3890 S Maryland Pkwy,Fail
Los Toritos Express,5780 E Charleston Blvd,Fail
Madison Avenue Bar & Grille,"855 E Twain Ave, Ste 114",Fail
Capriotti's Sandwich Shop,"4983 W Flamingo Rd, Ste D",Fail
Buca di Beppo Italian Restaurant,3850 S Las Vegas Blvd,Fail
Saino Indian Nepali Kitchen,"4860 W Desert Inn Rd, Ste 09",Fail
Emerald Island Casino,120 Market St,Fail
Honey Pig Korean BBQ,"9550 S Eastern Ave, Ste 100",Fail
Amazing Thai Restaurant,"3000 W Ann Rd, Ste 109",Fail
Raspados Playas,3416 E Lake Mead Blvd,Fail
Roberto's Taco Shop,5111 Boulder Hwy,Fail
Rivas Mexican Grill,"5750 E Sahara Ave, Ste 108",Fail
Panna Thai Restaurant,"6015 S Fort Apache Rd, Ste 100",Fail
PDQ - Las Vegas: Sahara,3010 W Sahara Ave,Fail
Rebel Republic,3540 W Sahara Ave,Fail
Mint Indian Bistro,4246 S Durango Dr,Fail
Pho Saigon 8,5650 Spring Mountain Rd,Fail
Kabob Korner,"730 E Flamingo Rd, Ste 7",Fail
Omoide Noodles & Bowls,7745 S Rainbow Blvd,Fail
Aloha A Go Go,"5841 E Charleston Blvd, Ste 270",Fail
Voodoo Wing Co,6728 W Cheyenne Ave,Fail
Fuzzy's Taco Shop,7080 S Rainbow Blvd,Fail
Hunt & Gather Cafe,"7240 W Azure Dr, Ste 145",Fail
Rocco's NY Pizza & Pasta,6870 S Rainbow Blvd,Fail
La Salsa,"3785 Las Vegas Blvd S, Ste 1500",Fail
L&L Hawaiian BBQ,854 S Boulder Hwy,Fail
Del Taco,5955 W Tropicana Ave,Fail
Pizza Rock,2300 Paseo Verde Pkwy,Fail
P'Dubs BBQ,3528 Maryland Pkwy,Fail
Port of Subs,2601 Windmill Pkwy,Fail
Little Caesars Pizza,"3475 E Flamingo Rd, Ste 100",Fail
Tonkatsu Kiyoshi,"7780 S Jones Blvd, Ste 103",Fail
El Pollo Loco,4011 E Charleston Blvd,Fail
Pepe's Tacos,2341 N Rainbow Blvd,Fail
Salted Malted Bakery & Creamery,"6584 N Decatur Blvd, Ste 120",Fail
Four Sevens Sports Bar & Restaurant,7777 W Sahara Ave,Fail
Kabob Oasis,"10100 S Eastern Ave, Ste 120",Fail
Railroad Pass Hotel & Casino,1500 Railroad Pass Casino Rd,Fail
Rachel's Kitchen,2265 Village Walk Dr,Fail
Pho 87,3620 S Jones Blvd,Fail
Santa Ana Cafe,714 N Nellis Blvd,Fail
HK Seafood Garden,4300 W Spring Mountain Rd,Fail
Le Cafe Du Lac,"40 Costa Di Lago, Ste 100",Fail
8oz Korean Steak House,"4545 Spring Mountain Rd, Ste B105",Fail
Roberto's Taco Shop,"6355 N Commerce St, Ste 103A",Fail
Ori'Zaba's Scratch Mexican Grill,3318 E Flamingo Rd,Fail
Fiesta Filipina Cuisine,"3310 S Jones Blvd, Ste A",Fail
Dona Norma Restaurant,1122 S Maryland Pkwy,Fail
Original Tommy's,5208 Boulder Hwy,Fail
Valley Cheese & Wine,"1570 W Horizon Ridge Pkwy, Ste 140",Fail
New York Chinese Restaurant,"9430 W Lake Mead Blvd, Ste 1",Fail
Quiznos,"6420 S Pecos Rd, Ste C",Fail
The Cheesecake Factory,"505 S Grand Central Pkwy, Ste 3201",Fail
Rocco's Ny Pizza & Pasta,580 E Windmill,Fail
BabyStacks Cafe,"4135 S Buffalo Dr, Ste 101",Fail
Rosallie,6090 S Rainbow Blvd,Fail
El Tenampa,556 N Eastern Ave,Fail
Mantra Masala,"8530 W Warm Springs Rd, Ste 101",Fail
Treasures Gentlemen's Club & Steakhouse,2801 Westwood Dr,Fail
Golden China Chinese Cuisine,"3830 E Flamingo Rd, Ste E4",Fail
Sushi Wow,"5585 Simmons St, Ste 3",Fail
The Melting Pot-Las Vegas,8704 W Charleston Blvd,Fail
McDonald's,900 S Rampart,Fail
Papa John's Pizza,"1411 N Jones Blvd, Ste 100",Fail
Satay Thai Bistro & Bar,"3900 Paradise Rd, Ste N",Fail
Roberto's Taco Shop,"193 N Gibson Rd, Ste 100",Fail
Roberto's Taco Shop,1220 E Harmon Ave,Fail
Ohjah Japanese Steakhouse,239 N Pecos Rd,Fail
Smith & Wollensky,3767 Las Vegas Blvd S,Fail
China Gourmet,"9002 W Sahara Ave, Ste A",Fail
Pure Nutrition,"1450 Horizon Ridge Pkwy, Ste B303",Fail
Jackie Bee Boba Express,"6250 W Charleston Blvd, Ste 120",Fail
Roberto's Taco Shop,"6820 W Flamingo Rd, Ste D",Fail
Thai Basil,2696 W Ann Rd,Fail
Mundo Restaurant,"495 S Grand Central Pkwy, Bldg A-116",Fail
L & L Hawaiian Barbecue,7580 S Las Vegas Blvd,Fail
China A GoGo,"5960 N Losee Rd, Ste128",Fail
Felipito's Mexican Food,5095 S Decatur Blvd,Fail
Kusina Ni Lorraine Express,"1850 E Serene Ave, Ste 106",Fail
Roberto's Taco Shop,"5725 Losee Rd, Ste 100",Fail
Jalisco Cantina,"3460 E Sunset Rd, Ste D",Fail
Penn's Thai House,724 W Sunset Rd,Fail
Veggie Delight,3504 Wynn Rd,Fail
Dairy Queen,"6525 S Fort Apache Rd, Unit 100",Fail
Market Street Cafe,12 E Ogden Ave,Fail
Panda Express,"4321 W Flamingo Rd, #1241",Fail
Papa John's Pizza,1010 E Desert Inn Rd,Fail
Kabob Korner,507 E Fremont St,Fail
Gata Thai Cuisine,35 S Gibson Rd,Fail
Cheers Bar & Grill,1220 E Harmon Ave,Fail
China Mama Restaurant,3420 S Jones Blvd,Fail
Buffet At Asia,"9901 S Eastern Ave, Ste 110",Fail
VegeNation,"616 Carson Ave, Ste 120",Fail
Hong Kong Garden Seafood & BBQ Cafe,3407 S Jones Blvd,Fail
La Pupusa Loca,"1000 N Nellis Blvd, Ste M",Fail
Pure Indian Cuisine,"1405 E Sunset Rd, Ste 200",Fail
Sonic Drive-In,4442 N Decatur Blvd,Fail
Lui's Cocina,"1745 S Rainbow Blvd, Ste C",Fail
Pho Sing Sing,2550 S Rainbow Blvd,Fail
Swish,"7875 W Sahara Ave, Ste 105",Fail
Dunkin' Donuts,4125 S Eastern Ave,Fail
TGI Fridays,4570 W Sahara Ave,Fail
Nutrition Rush,"5310 W Sahara Ave, Ste B",Fail
The Blue Skillet Family Restaurant,1723 E Charleston Blvd,Fail
Griddlecakes,"6085 S Fort Apache Rd, Ste 180",Fail
Food Express,2411 W Sahara Ave,Fail
Blue Fin Sushi & Roll,"3980 E Sunset Rd, Ste 102",Fail
Pizza Patron,2885 E Charleston Blvd,Fail
Dunkin' Donuts,6295 S Rainbow Blvd,Fail
Cafe Modena,"1725 E Warm Springs Rd, Ste 18",Fail
China Ginger,5035 S Fort Apache Rd,Fail
Charleys Philly Steaks,4300 Meadows Ln,Fail
#1 Hawaiian Barbecue,"5905 S Eastern Ave, Ste 105",Fail
Chronic Tacos,"9460 W Flamingo Rd, Ste 125",Fail
Oyster Bay Seafood,3663 Las Vegas Blvd S,Fail
Slices Pizzeria,4111 Boulder Hwy,Fail
Red Lobster,2325 E Flamingo Rd,Fail
Angelina's Pizzeria - Eastern,5025 S Eastern Ave,Fail
Roberto's Taco Shop,114 S Boulder Hwy,Fail
Las Islitas,5105 E Sahara Ave,Fail
Simply Pure by Chef Stacey Dougan,"707 Fremont St, Ste 1310",Fail
China Dragon,"5905 Eastern Ave, Ste 104",Fail
Metro Pizza,1395 E Tropicana Ave,Fail
Viva Zapatas Mexican Restaurant & Cantina,3826 E Craig Rd,Fail
Eiffel Tower Wine & Spirits,3655 Las Vegas Blvd,Fail
Café Zupas,9460 S Eastern Ave,Fail
Le Provencal,"Paris Las Vegas Hotel & Casino, 3655 Las Vegas Boulevard South",Fail
KFC,2312 S Maryland Pky,Fail
Starbucks,10250 West Charleston Blvd,Fail
China One,"7080 N Durango Dr, Ste 130",Fail
Sushi Wa,"790 Coronado Center Dr, Ste 125",Fail
Long John Silver's,5930 Centennial Center Blvd,Fail
Chada Street,3839 Spring Mountain Rd,Fail
Pasta Mia West,4455 W Flamingo Rd,Fail
Rhythm Kitchen,6435 S Decatur Blvd,Fail
Flamingo Pizza,3500 Wynn Rd,Fail
Hooters,7155 S Rainbow Blvd,Fail
Los Portales Bakery,2630 E Lake Mead Blvd,Fail
BF Sushi,"6375 S Rainbow Blvd, Ste 102",Fail
China A Go Go,"10140 W Tropicana Ave, Ste 123",Fail
Laurita's Taco Shop,"8880 S Maryland Pkwy, Ste 103",Fail
New China Cuisine,"5515 Camino Al Norte, Ste 101",Fail
IHOP,3780 S Maryland Pkwy,Fail
Seafood City Supermarket,3890 S Maryland Pkwy,Fail
Go Raw Cafe,2910 Lake E Dr,Fail
Aloha Kitchen,8150 S Maryland Pkwy,Fail
Ono's Island BBQ,5740 W Charleston Blvd,Fail
Oyshi Sushi,"7775 S Rainbow Blvd, Ste 145",Fail
Very Berry Cafe,"4983 West Flamingo Rd, Ste B1",Fail
The Cupcakery,"9680 S Eastern Ave, Ste 100",Fail
Tacos Y Tortas El Panzon,"3720 E Sunset Rd, Ste 110",Fail
Domino's Pizza,"2085 N Jones Blvd, Unit 6",Fail
India Oven Masala Bar & Grill,1040 E Flamingo Rd,Fail
Cilantros Taco Grill,2490 E Desert Inn Rd,Fail
POKE POKU  Hawaiian Poke bar,"7460 S Rainbow Blvd, Ste 105",Fail
L & L Hawaiian Barbecue,2755 S Nellis Blvd,Fail
Dog Haus Biergarten,4480 Paradise Rd,Fail
Krung Siam Thai,"3755 Spring Mountain Rd, Ste 102",Fail
"Flippin' Good Chicken, Burgers, Beer",505 E Fremont St,Fail
Ohjah Noodle House #2,"35 E Horizon Ridge Pkwy, Ste 160",Fail
Earl of Sandwich,4321 W Flamingo Rd,Fail
Viva El Taco,"8410 W Cheyenne Ave, Ste 106",Fail
Nutrition Rush,"4985 W Tropicana Ave, Ste 103",Fail
Roberto's Taco Shop,"4955 E Craig Rd, Ste 2",Fail
Cafe Americano,3570 S Las Vegas Blvd,Fail
Aloha Kitchen & Bar,"2605 S Decatur Blvd, Ste 110",Fail
Munch Box,6105 S Fort Apache Rd,Fail
Church's Chicken,4851 W Charleston Blvd,Fail
Timbers - Azure,7240 W Azure Dr,Fail
Robertos Taco Shop,"5780 E Sahara, Ste 110",Fail
Thai St Cafe,3137 S Industrial Rd,Fail
Black Mountain Grill,11021 S Eastern Ave,Fail
Santa Fe Mining Company,5021 N Rainbow Blvd,Fail
Port of Subs,2285 N Green Valley Pkwy,Fail
McDonald's,301 Fremont St,Fail
1 Hawaiian Barbecue,"5870 N Losee Rd, Ste 157",Fail
Swish Shabu Shabu,"5115 W Spring Mountain Rd, Ste 121",Fail
Papa John's Pizza,"9285 Cimarron Rd, Ste 105",Fail
Dona Maria Tamales Restaurant,3205 N Tenaya Way,Fail
Little Caesars Pizza,1758 E. Charleston Blvd.,Fail
El Cazador,1108 E Lake Mead Blvd,Fail
Burger King,3004 W Ann Rd,Fail
El Pollo Mobile,4104 E Lake Mead Blvd,Fail
Farmer Boys,4833 W Charleston Blvd,Fail
Centro America Restaurant,6135 W Sahara Ave,Fail
Antojitos DF,4440 E Tropicana Ave,Fail
La Belle Terre French Bakery And Café,"8390 W Sahara Ave, Ste 130",Fail
Napoli Pizza,"765 N Nellis Blvd, Ste 10",Fail
Los Tacos,1710 E Charleston Blvd,Fail
Napoli Pizzeria,"4760 W Sahara Ave, Ste 11",Fail
McDonald's,5947 Spring Mountain Rd,Fail
Cafe Rio,9595 S Eastern Ave,Fail
E-Jo Korean Restaurant,"700 E Sahara Ave, Ste D",Fail
Hiroba Sushi,"10720 S Eastern Ave, Ste 100",Fail
Tropical Smoothie Cafe,"3390 Novat Street, #110",Fail
Pellegrini Pizza,"101 S Rainbow Blvd, Ste 7",Fail
32 Degrees,3799 Las Vegas Blvd S,Fail
The Mad Greek Cafe,8565 W Sahara Ave,Fail
Tacos Mexico,3820 W Sahara Ave,Fail
Sunflower Vietnamese Restaurant,"4210 W Craig Rd, Ste 100",Fail
808 Sushi,7435 S Durango Dr,Fail
Samurai Japanese Steakhouse & Sushi,1199 W Sunset Rd,Fail
Ramen KoBo,7040 S Durango Dr,Fail
McDonald's,3451 W Tropicana,Fail
McDonald's,7530 W Washington,Fail
Mother's Korean Grill,4215 Spring Mountain Rd,Fail
Sin City Sushi,9255 S Eastern Ave,Fail
LaoDiFang Asian Kitchen,"9340 W Flamingo Rd, Ste 114",Fail
China A Go Go,"5841 E Charleston Blvd, Ste 250",Fail
Chipotle Mexican Grill,3200 Las Vegas Blvd S,Fail
China Poblano,"3708 Las Vegas Blvd S, Level 2, Boulevard Tower",Fail
Pupusería El Zunzal,2081 N Decatur Blvd,Fail
BJ'S Cocktail Lounge South,3835 W Martin Ave,Fail
Pollos El Dorado,5717 Merrill Ave,Fail
Omelet House,"2160 W Charleston Blvd, Ste A",Fail
Hunan Chilli Kingdom,"3460 Arville St, Ste 7",Fail
Island Pacific Seafood Market,8650 W Tropicana Ave,Fail
China A Go Go,"4780 W Ann Rd, Ste 3",Fail
Café Zupas,1381 W Sunset Rd,Fail
Function Juicery,"4220 S Grand Canyon Dr, Ste 6",Fail
Teriyaki Madness,"2548 Wigwam Pkwy, Ste 150",Fail
El Birotazo,4262 E Charleston Blvd,Fail
Farmer Boys,4450 N Lamb Blvd,Fail
Denny's,7071 W Craig Rd,Fail
L & L Hawaiian Barbecue,"5752 S Fort Apache Rd, Ste 105",Fail
Capriotti's Sandwich Shop,1146 W Sunset Rd,Fail
World Famous Tuscany Pizza,610 E Naples,Fail
Mansion Dining Room,3799 Las Vegas Blvd S,Fail
El Pollo Loco,7205 S Eastern Ave,Fail
Aurelio's the Family Pizzeria,"10960 S Eastern Ave, Ste 107",Fail
Las Palmas Mariachi Restaurant,953 E Sahara Ave,Fail
Thelma's Filipino Restaurant,"1205 W Sunset Rd, Ste 180",Fail
Metro Pizza,4178 Koval Ln,Fail
Mr D's Frozen Custard,10385 S Eastern Ave,Fail
Domino's Pizza,3100 E Lake Mead Blvd,Fail
Vogue Restaurant & Bar,3383 S Jones Blvd,Fail
Denny's,3411 S Las Vegas Blvd,Fail
Dairy Queen,2607 Windmill Pkwy,Fail
MB China,"2100 E Lake Mead Blvd, Ste A",Fail
Yonaka Modern Japanese,"4983 W Flamingo Rd, Ste A",Fail
Pearl Wok To Go,"8550 W Charleston Blvd, Ste 100",Fail
Carniceria Guadalajara,"955 W Craig Rd, Ste 117",Fail
Osaka Japanese Bistro,4205 W Sahara Ave,Fail
McDonald's,3700 S Paradise Rd,Fail
GlutenZero,"9500 S Eastern Ave, Ste 130",Fail
Samurai Sam's,7620 Las Vegas Blvd S,Fail
Life's A Bagel,2223 N Rampart Blvd,Fail
Roberto's Taco Shop,1311 W Craig Rd,Fail
Chipotle Mexican Grill,7370 S Las Vegas Blvd,Fail
McDonald's,540 Marks St,Fail
Cue-D's Poolhall & Bar,"3400 S Jones Blvd, Ste 19",Fail
Domino's Pizza,971 S Boulder Hwy,Fail
Tony Roma's,2040 N Rainbow Blvd,Fail
Little Caesars Pizza,4258 E. Charleston Blvd.,Fail
Angelina's Pizza,7790 W Cheyenne Ave,Fail
Samosa Factory,"4604 W Sahara Ave, Ste 6",Fail
Baja Bar & Grill,4755 S Maryland Pkwy,Fail
Domino's Pizza,"9435 W Tropicana Ave, Ste 104",Fail
Fresh Donuts,"2100 E Lake Mead Blvd, Ste B",Fail
Esmeralda's Cafe,1000 E Charleston Blvd,Fail
PT's,4424 W Spring Mountain Rd,Fail
Golden Steer Steakhouse,308 W Sahara Ave,Fail
Brew Tea Bar,"7380 S Rainbow Blvd, Ste 101",Fail
Little Caesar,118 E Lake Mead Dr,Fail
Sababa Mediterranean Grill,3220 S Durango Dr,Fail
Krazy Buffet,8095 W Sahara Ave,Fail
Domino's Pizza,8508 W Sahara Ave,Fail
Lola's A Louisana Kitchen,"241 W Charleston Blvd, Ste 101",Fail
Canyon Ranch Cafe,3355 Las Vegas Blvd S,Fail
Viva Las Arepas,1134 S Rainbow Blvd,Fail
Las Islitas Mariscos,"6831 W Flamingo Rd, Ste 406",Fail
PBR Rock Bar & Grill,3663 Las Vegas Blvd S,Fail
Isla Grille Filipino Cuisine,"6105 S Fort Apache Rd, Ste 402",Fail
Paymon's Mediterranean Cafe & Lounge,4147 S Maryland Pkwy,Fail
Gandhi India's Cuisine,4080 Paradise Rd,Fail
McDonald's,6680 N 5th St,Fail
Dairy Queen,"7501 W Lake Mead Blvd, Ste 105, Summerhill Plaza Strip Mall",Fail
Goto Queen,2300 N Rainbow Blvd,Fail
The Hush Puppy,1820 N Nellis Blvd,Fail
Sushi Mon,"9770 S Maryland Pkwy, Ste 3",Fail
Little Dumpling,"6572 N Decatur Blvd, Ste 120",Fail
Little Crown & Anchor Pub,4755 Spring Mountain Rd,Fail
Firefly Tapas Kitchen and Bar,"11261 S Eastern Ave, Ste 200",Fail
Omelet House,6520 Boulder Hwy,Fail
Tacos El Gordo,3049 S Las Vegas Blvd,Fail
Kang Thai,"6475 W Charleston Blvd, Ste 160",Fail
Port of Subs,190 E Flamingo Rd,Fail
Sushi Yamaguchi,5900 W Charleston Blvd,Fail
QDOBA Mexican Eats,"175 N Stephanie St, Ste 100",Fail
Off the Hook,"4155 S Buffalo Dr, Ste 105",Fail
Manna Mediterranean,"171 N Gibson Rd, Ste 110",Fail
Rincon Criollo,1145 Las Vegas Blvd S,Fail
Roberto's Taco Shop,"4503 Paradise Rd, Ste C-130",Fail
Aces & Ales,3740 S Nellis Blvd,Fail
China Kitchen,4985 E Craig Rd,Fail
Oh's Convenient Store,4646 Swenson St,Fail
Capriotti's Sandwich Shop,"7440 W Cheyenne, Ste 101",Fail
Roberto's Taco Shop,4330 E Washington Ave,Fail
McDonald's,4135 S Grand Canyon Dr,Fail
Abuela's Tacos,"4225 E Sahara Ave, Ste 1",Fail
Del Taco,150 N Boulder Hwy,Fail
Taco Rico Los 3 Gallos,1524 S Main St,Fail
Tacos El Gordo,1724 E Charleston Blvd,Fail
El Cordobes,5020 E Tropicana Ave,Fail
L & L Hawaiian Barbecue,"2060 E Serene Ave, Ste 100",Fail
Bangkok Market,4825 W Flamingo Rd,Fail
Casa Di Amore,2850 E Tropicana Ave,Fail
Dream Bean Coffee,6820 Spring Mountain Rd,Fail
Boba Hut,"5597 S Rainbow Blvd, Ste 130",Fail
Aloha Hawaiian BBQ,"6475 Pecos Rd, Ste B",Fail
Makers & Finders Coffee,"1120 S Main St, Ste 110",Fail
Kathy's Southern Cooking,6407 Mountain Vista St,Fail
Cardenas Market,4500 E Tropicana Ave,Fail
Sushi Neko,"5115 W Spring Mountain Rd, Ste 117",Fail
Yummy China,7045 W Ann Rd,Fail
Mariscos Vallarta,4425 E Tropicana Ave,Fail
Taqueria La Casa Del Pastor,5893 W Tropicana Ave,Fail
Bubba Gump Shrimp,"3717 Las Vegas Blvd S, Ste 2 Q",Fail
McDonald's,4774 Alta Dr,Fail
Burger King,3355 S Maryland Pkwy,Fail
Cicis,"309 N Nellis Blvd, Ste 120",Fail
Round Table Pizza,"7460 W Lake Mead Blvd, Ste 8",Fail
El Nopal Mexican Grill,"3231 N Decatur Blvd, Ste 101",Fail
P-Dub's BBQ,3528 South Maryland Pkwy,Fail
Buffet At Asia,4090 S Eastern Ave,Fail
Max's Restaurant,1290 E Flamingo Rd,Fail
Crêpe Station,4664 W Charleston Blvd,Fail
Las Gorditas,"840 N Decatur Blvd, Ste G",Fail
I Am Thai Cuisine,"310 E Warm Springs Rd, Ste G",Fail
Mermaid's Casino,32 Fremont St,Fail
Orange Julius / Dairy Queen,"3200 Las Vegas Blvd S, Ste 600",Fail
H2O Sushi & Izakaya,"325 Hughes Center Dr, Ste 120",Fail
Mario's Westside Market,1960 N Martin L King Blvd,Fail
Siam Garden,"3297 Las Vegas Blvd N, Ste 65",Fail
Ringer,3667 Las Vegas Blvd S,Fail
SK Seafood Restaurant 勝記,5600 Spring Mountain Rd,Fail
Go!ku,"4300 W Spring Mountain Rd, Ste 108",Fail
Buck's Tavern,1204 N Nellis Blvd,Fail
Dotty's #1,1131 E Tropicana Ave,Fail
El Mescal Family Mexican Restaurant,4460 S Durango Dr,Fail
The Daddy's Pizza,"2775 S Nellis Blvd, Ste B9",Fail
Brown Rice Thai Kitchen,"1910 Village Center Cir, Ste 3",Fail
Nigerian Cuisine,"5006 S Maryland Pkwy, Ste 11",Fail
Kung Fu Tea,5030 Spring Mountain Rd,Fail
L & L Hawaiian Barbecue,"10860 W Charleston Blvd, Ste 180",Fail
Marie Callender's Restaurants & Bakeries,3081 N Rainbow Blvd,Fail
China A GoGo,"8431 Farm Rd, Ste 140",Fail
China Star,4595 W Charleston Blvd,Fail
Thai House,"9850 S Maryland Pkwy, Ste 17",Fail
Robertos Taco Shop,"8680 W Warm Springs Rd, Ste 105",Fail
Potato Corner,"4300 Meadows Ln, 5525",Fail
Cugino's Pizzeria,6584 N Decatur Blvd,Fail
Thai Seafood Ginger,"1750 S Rainbow Blvd, Ste 8",Fail
Port of Subs,"9255 S Eastern Ave, Ste 300",Fail
PT's Gold,1383 E Silverado Ranch Rd,Fail
Pinches Tacos,"9205 W Russell Rd, Ste 190",Fail
Asian Wok,6515 N Buffalo Dr,Fail
Tacos La Mexicana,"3675 S Decatur Blvd, Ste 1",Fail
Zingers,3743 Las Vegas Blvd S,Fail
Ori'Zaba's Scratch Mexican Grill,6630 N Durango Dr,Fail
Marcos Pizza,"3355 Novat St, Ste 110",Fail
Capriotti's Sandwich Shop,11350 Southern Highlands Pkwy,Fail
Baja Fresh,"8780 W Charleston Blvd, Ste 100",Fail
Hussong's Cantina Boca Park,"740 S Rampart Blvd, Ste 7",Fail
Rice n Noodle,"7910 S Rainbow Blvd, Ste 105",Fail
Armaan Taste of India,"9890 S Maryland Pkwy, Ste 18",Fail
VegeNation,10075 S Eastern Ave,Fail
Sonic Drive-In,7245 S Durango Dr,Fail
China a Go Go,"505 E Windmill Ln, Ste D",Fail
Skyline Restaurant & Casino,1741 N Boulder Hwy,Fail
Xtreme Sushi,"10670 S Southern Highlands Pkwy, Ste 104",Fail
Yi Mei Champion Taiwan Deli,"4300 Spring Mountain Rd, Ste 116",Fail
Weera Thai,"3839 W Sahara Ave, Ste 7-9",Fail
Phat Phrank's,4850 W Sunset Rd,Fail
McDonald's,5811 E Charleston Blvd,Fail
Napoli Pizza,1275 W Warm Springs Rd,Fail
Carl's Jr,7598 Vegas Dr,Fail
McDonald's,3020 Edesert Inn Rd,Fail
Mark Rich's New York Pizza & Pasta,7930 W Tropical Pkwy,Fail
Chickpeas Mediterranean Café,"6375 S Rainbow Blvd, Ste 101",Fail
Roberto's Taco Shop,"2875 S Nellis Blvd, Ste A2",Fail
Krazy Sushi,"7160 N Durango Dr, Ste 140",Fail
Jjanga Steak & Sushi,"6125 S Fort Apache Rd, Ste 200",Fail
Tacos El Nopal,4200 W Russell Rd,Fail
Chao Thai Restaurant,"4550 S Maryland Pkwy, Ste 23",Fail
Rocky Mountain Chocolate Factory,4500 W Tropicana Ave,Fail
Sawa Sushi,"3962 Blue Diamond Rd, Ste 104",Fail
Nevada Chicken Cafe,"7340 Arroyo Crossing Pkwy, Ste 5",Fail
China One,"2447 E Tropicana Ave, Ste 13A",Fail
Donut Mania,"4460 S Durango Dr, Ste D",Fail
Robertos Taco Shop,10612 S Eastern Ave,Fail
Michi Ramen,1018 W Sunset Rd,Fail
Archi's Thai Bistro,"6345 S Rainbow Blvd, Ste 100",Fail
Tropical Smoothie Cafe,"7291 South Eastern Avenue, Suite 1K",Fail
Pepe's Tacos,2490 Fremont St,Fail
L & L Hawaiian Barbecue,1900 N Buffalo Dr,Fail
China Joe's,1350 E Flamingo Rd,Fail
TangTangTang 2,"8635 S Rainbow Blvd, Ste 110",Fail
Rosati's Pizza,5725 Losee Rd,Fail
China a Go Go,"75 S Valle Verde Dr, Ste 240",Fail
Muscle Maker Grill - Las Vegas,"5765 Centennial Center Blvd, Ste 180",Fail
The Coffee Bean & Tea Leaf,5757 Wayne Newton Blvd,Fail
Gilligan's HideAway,2601 Atlantic St,Fail
Del Taco,4449 E Sunset Rd,Fail
Jason's Deli,100 N City Pkwy,Fail
Big Apple Bagels,"2548 Wigwam Pkwy, Ste 140",Fail
Roberto's Taco Shop,3102 Las Vegas Blvd N,Fail
Paris Baguette,"3377 Las Vegas Blvd, Ste 2390",Fail
Rocky's Bar and Grill,8540 S Maryland Pkwy,Fail
Park on Fremont,506 Fremont St,Fail
Capriotti's Sandwich Shop,3820 E Craig Rd,Fail
Romano's Macaroni Grill,2400 W Sahara Ave,Fail
Tacos Tijuana,2554 E Tropicana Ave,Fail
Trillo's Street Tacos,4371 N Rancho Dr,Fail
Thai Original BBQ Restaurant,1424 S 3rd St,Fail
Wendy's,4760 E Flamingo Rd,Fail
Pizza Hut,"10420 W Cheyenne Ave, Ste 110",Fail
Chili's,6505 N Decatur Blvd,Fail
Papa John's Pizza,"771 E Horizon Dr, Ste 156",Fail
The Cheesecake Factory,"750 S Rampart Blvd, Bldg 17",Fail
PT's,5355 S Decatur Blvd,Fail
Lee's Discount Liquor,7752 N El Capitan Way,Fail
Pho Rancho,"4335 N Rancho Drive, Ste 110",Fail
El Charro's Taco Shop,"5670 Simmons St, Ste 102",Fail
Denny's,4280 W Craig Rd,Fail
Anthony's New York Pizza & Deli,"321 S Casino Ctr Blvd, Ste 125",Fail
Sushi Loca,6181 Centennial Center Blvd,Fail
Pho Aimie,"8390 S Rainbow Blvd, Ste 110",Fail
Kaizen Fusion Roll & Sushi,"2760 Deer Springs Way, Ste 101",Fail
Zabas Mexican Grill,9905 S Eastern Ave,Fail
Fiesta Filipina Cuisine,"2980 St Rose Pkwy, Ste 120",Fail
Dairy Queen,10410 S Decatur Blvd,Fail
Salsa Loca Mexican Grill,"4130 S Sandhill Rd, Ste A3",Fail
Papa John's Pizza,4444 W Craig Rd,Fail
Pho Little Saigon,"3775 Spring Mountain Rd, Ste 306",Fail
McDonald's,701 E Horizon,Fail
Del Taco,180 N Pecos Rd,Fail
Esther's Kitchen,1130 S Casino Center Blvd,Fail
The Restaurant at Platinum,211 E Flamingo Rd,Fail
Black Bear Diner,2751 N Green Valley Pkwy,Fail
Balboa Pizza Company,2265 Village Walk Dr,Fail
Capriotti's Sandwich Shop,"90 S Stephanie St, Ste 140",Fail
The Capital Grille,3200 Las Vegas Blvd S,Fail
Circle K,5685 S Eastern Ave,Fail
La favorita Market,573 E Twain Ave,Fail
David Montes NY Pizzeria,"955 W Craig rd, Ste 105",Fail
Habanero Grill,2405 N Rainbow Blvd,Fail
R Burgers,7215 S Eastern Ave,Fail
Giuseppe's Italian Grille,2630 W Horizon Ridge Pkwy,Fail
Naked City Pizza On Paradise,4608 Paradise Rd,Fail
Lindo Michoacan,645 Carnegie St,Fail
Flock & Fowl,"150 N Las Vegas Blvd, Ste 100",Fail
Rosarita's Beach,72 W Horizon Ridge Pkwy,Fail
Hedary's Mediterranean Restaurant,"7365 W Sahara Ave, Ste K",Fail
